who;born;age;profession;notes
Łukasz Abgarowicz;1949;68;polityk;
Jacek Ambroziak;1941;77;emeryt;
Konrad Bieliński;1949;68;emeryt;
Stanisław Biernat;1949;68;prawnik;#prof
Andrzej Blikle;1939;78;emeryt;#prof
Michał Boni;1954;64;polityk;
Jerzy Borowczak;1967;60;polityk;
Bogdan Borusewicz;1949;69;polityk;
Zbigniew Bujak;1954;63;emeryt;
Włodzimierz Cimoszewicz;1950;67;polityk;
Władysław Frasyniuk;1954;63;emeryt;
Janusz Gajos;1939;78;aktor;
Agnieszka Holland;1949;69;reżyser;
Zbigniew Hołdys;1951;66;muzyk;
Krystyna Janda;1952;65;aktor;
Ryszard Kalisz;1957;61;polityk;
Bogdan Klich;1960;58;polityk;
Maja Komorowska;1937;80;aktor;
Bogdan Lis;1952;65;polityk;
Jan Lityński;1946;72;emeryt;
Katarzyna Lubnauer;1969;48;polityk;
Piotr Niemczyk;1962;56;biznesmen;
Stefan Niesiołowski;1944;74;polityk;
Małgorzata Niezabitowska;1948;69;emeryt;
Daniel Olbrychski;1945;73;aktor;
Janusz Onyszkiewicz;1937;80;emeryt;
Józef Pinior;1955;63;polityk;
Wojciech Pszoniak;1942;76;aktor;
Andrzej Rzepliński;1949;68;prawnik;
Grzegorz Schetyna;1963;55;polityk;
Andrzej Seweryn;1946;72;aktor;
Maciej Stuhr;1975;43;aktor;
Jacek Taylor;1939;78;emeryt;
Róża Thun;1954;64;polityk;
Ludwik Wiśniewski;1936;81;ksiądz; 
Henryk Wujec;1940;77;emeryt;
Jerzy Zajadło;1954;64;prawnik;
Wiktor Zborowski;1951;67;aktor;
Andrzej Zoll;1943;73;prawnik;
Seweryn Blumsztajn;1946;72;emeryt;
Zbigniew Bobak;1931;87;emeryt;
Marek Borowski;1946;72;polityk;
Mikołaj Cześnik;1975;45;prawnik;
Tomasz Dostatni;1964;53;ksiądz;
Jan Dworak;1948;69;emeryt;
Maria Ejchart-Dubois;1978;40;prawnik;##wiek
Jacek Fedorowicz;1937;80;aktor;
Halina Flis-Kuczyńska;1942;76;emeryt;
Marcin Geremek;1978;40;krewnyAutorytetu;##wiek
Sylwia Gregorczyk-Abram;1978;40;prawnik;##wiek
Andrzej Halicki;1961;57;polityk;
Piotr Kapczyński;1953;65;emeryt;
Paulina Kieszkowska-Knapik;1987;40;prawnik;##wiek
Krzysztof Król;1963;55;polityk;
Ireneusz Krzemiński;1949;69;politolog;#prof
Waldemar Kuczyński;1939;78;dziennikarz;
Danuta Kuroń;1949;68;krewnyAutorytetu;
Olgierd Łukaszewicz;1946;71;aktor;
Henryk Majewski;1951;66;polityk;
Radosław Markowski;1957;61;politolog;#prof
Marcin Matczak;1976;42;prawnik;#prof
Edward Nowak;1950;67;emeryt;https://pl.wikipedia.org/wiki/Edward_Edmund_Nowak
Krzysztof Parchimowicz;1958;60;prawnik;prokurator
Mikołaj Pietrzak;1974;44;prawnik;
Jacek Poniedziałek;1965;53;aktor;
Krzysztof Pusz;1951;67;polityk;
Ryszard Pusz;1952;66;polityk;
Piotr Rachtan;1949;69;dziennikarz;
Krzysztof Siemieński;1958;60;reżyser;##wiek
Wiesław Sikorski;1956;62;polityk;gazetaolsztynska.pl/155621,Rozmowa-z-prezydenckim-ekspertem-Pol-Warszawy-jezdzi-na-Mazury.html ##wiek
Aleksander Smolar;1940;80;działacz;
Grażyna Staniszewska;1949;69;emeryt;
Jerzy Stępień;1946;71;prawnik;
Danuta Stołecka;1957;61;emeryt;
Jacek Trela;1956;62;prawnik;
Andrzej Trzeciakowski;1966;52;NIL;
Michał Wawrykiewicz;1987;40;prawnik;adwokat, współzałożyciel inicjatywy #WolneSądy
Andrzej Wielowiejski;1927;90;emeryt;
Ryszard Wojtkowski;1956;62;biznesmen;Novaris
Wojciech Wróblewski;1957;61;urzędnik;
Jerzy Zdrada;1936;82;emeryt;
Zbigniew Janas;1953;65;działacz;
